long,lat,addr,city,state,zip,url,beds,baths,sqft,date,price
-1,-1,5567 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5567-camelia-st-pittsburgh-pa-15201/id-400022979581/,3,2,1537,1900,144055
-1,-1,5569 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5569-camelia-st-pittsburgh-pa-15201/id-400022979572/,3,1,970,1908,130462
-1,-1,5605 Mccandless Ave,Pittsburgh,PA,15201,https://www.homes.com/property/5605-mccandless-ave-pittsburgh-pa-15201/id-400022979514/,4,1,1526,1910,154282
-1,-1,5615 Mccandless Ave,Pittsburgh,PA,15201,https://www.homes.com/property/5615-mccandless-ave-pittsburgh-pa-15201/id-400022979510/,3,2,918,1955,126363
-1,-1,6304 Sawyer St,Pittsburgh,PA,15201,https://www.homes.com/property/6304-sawyer-st-pittsburgh-pa-15201/id-400022631398/,2,1,1428,1900,156702
-1,-1,900 56th St,Pittsburgh,PA,15201,https://www.homes.com/property/900-56th-st-pittsburgh-pa-15201/id-400022979680/,2,1,924,1920,112777
-1,-1,906 56th St,Pittsburgh,PA,15201,https://www.homes.com/property/906-56th-st-pittsburgh-pa-15201/id-400022979677/,3,1,1036,1900,123496
-1,-1,127 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/127-almond-way-pittsburgh-pa-15201/id-400022876614/,2,2,979,1900,181309
-1,-1,138 41st St 2jan 2jan 2jan,Pittsburgh,PA,15201,https://www.homes.com/property/138-41st-st-2jan-2jan-2jan-pittsburgh-pa-15201/id-400022876578/,2,1,1156,1900,158384
-1,-1,148 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/148-almond-way-pittsburgh-pa-15201/id-400022876617/,2,1,1181,1900,309000
-1,-1,160 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/160-almond-way-pittsburgh-pa-15201/id-400022876625/,2,1,998,1900,154233
-1,-1,162 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/162-almond-way-pittsburgh-pa-15201/id-400022876622/,2,2,998,1900,165585
-1,-1,164 43rd St,Pittsburgh,PA,15201,https://www.homes.com/property/164-43rd-st-pittsburgh-pa-15201/id-400022876893/,2,2,1598,1920,205723
-1,-1,164 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/164-almond-way-pittsburgh-pa-15201/id-400022876623/,2,1,998,1900,153300
-1,-1,168 43rd St,Pittsburgh,PA,15201,https://www.homes.com/property/168-43rd-st-pittsburgh-pa-15201/id-400022876895/,3,1,1296,1900,178740
-1,-1,169 43rd St,Pittsburgh,PA,15201,https://www.homes.com/property/169-43rd-st-pittsburgh-pa-15201/id-400022876877/,2,2,2750,1900,234678
-1,-1,171 42nd St,Pittsburgh,PA,15201,https://www.homes.com/property/171-42nd-st-pittsburgh-pa-15201/id-400022876699/,3,1,1690,1920,248972
-1,-1,180 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/180-44th-st-pittsburgh-pa-15201/id-400022876730/,2,1,964,1900,166563
-1,-1,183 Banner Way,Pittsburgh,PA,15201,https://www.homes.com/property/183-banner-way-pittsburgh-pa-15201/id-400022876724/,2,1,832,1928,137537
-1,-1,184 41st St,Pittsburgh,PA,15201,https://www.homes.com/property/184-41st-st-pittsburgh-pa-15201/id-400022876593/,2,1,1036,1900,165335
-1,-1,185 Banner Way,Pittsburgh,PA,15201,https://www.homes.com/property/185-banner-way-pittsburgh-pa-15201/id-400022876723/,2,1,832,1928,56021
-1,-1,186 42nd St,Pittsburgh,PA,15201,https://www.homes.com/property/186-42nd-st-pittsburgh-pa-15201/id-400022876719/,3,3,2752,1920,374796
-1,-1,215 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/215-44th-st-pittsburgh-pa-15201/id-400022876754/,3,1,1980,1900,217526
-1,-1,226 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/226-46th-st-pittsburgh-pa-15201/id-400022876861/,3,1,1403,1920,149926
-1,-1,228 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/228-46th-st-pittsburgh-pa-15201/id-400022876862/,4,2,1728,1920,194014
-1,-1,243 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/243-44th-st-pittsburgh-pa-15201/id-400022876816/,2,2,2979,1924,351576
-1,-1,251 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/251-44th-st-pittsburgh-pa-15201/id-400022876812/,3,1,1280,1900,188159
-1,-1,253 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/253-44th-st-pittsburgh-pa-15201/id-400022876811/,2,1,1280,1900,196381
-1,-1,256 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/256-46th-st-pittsburgh-pa-15201/id-400022876945/,3,1,1527,1925,210898
-1,-1,262 Service Way,Pittsburgh,PA,15201,https://www.homes.com/property/262-service-way-pittsburgh-pa-15201/id-400022876848/,2,1,840,1900,142215
