long,lat,addr,city,state,zip,url,beds,baths,sqft,date,price
-79.945228,40.480768,5519 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5519-camelia-st-pittsburgh-pa-15201/id-400022979656/,3,1,1227,1940,103425
-79.945164,40.480876,5523 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5523-camelia-st-pittsburgh-pa-15201/id-400022979654/,3,2,1294,1945,123347
-79.945088,40.481048,5529 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5529-camelia-st-pittsburgh-pa-15201/id-400022979652/,3,2,1342,1925,107847
-79.94413,40.480786,5539 Mccandless Ave,Pittsburgh,PA,15201,https://www.homes.com/property/5539-mccandless-ave-pittsburgh-pa-15201/id-400022979525/,2,2,1258,1900,111760
-79.944694,40.481209,5541 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5541-camelia-st-pittsburgh-pa-15201/id-400022979647/,2,2,1226,1927,121813
-79.94433599999998,40.481466,5555 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5555-camelia-st-pittsburgh-pa-15201/id-400022979615/,1,1,840,1940,135726
-79.944278,40.481527,5557 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5557-camelia-st-pittsburgh-pa-15201/id-400022979604/,2,1,971,1948,86099
-79.944136,40.481794,5567 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5567-camelia-st-pittsburgh-pa-15201/id-400022979581/,3,2,1537,1900,144055
-79.944004,40.481802,5569 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5569-camelia-st-pittsburgh-pa-15201/id-400022979572/,3,1,970,1908,130462
-79.94306999999998,40.48152,5605 Mccandless Ave,Pittsburgh,PA,15201,https://www.homes.com/property/5605-mccandless-ave-pittsburgh-pa-15201/id-400022979514/,4,1,1526,1910,154282
-79.942801,40.481654,5615 Mccandless Ave,Pittsburgh,PA,15201,https://www.homes.com/property/5615-mccandless-ave-pittsburgh-pa-15201/id-400022979510/,3,2,918,1955,126363
-79.935383,40.488509,6304 Sawyer St,Pittsburgh,PA,15201,https://www.homes.com/property/6304-sawyer-st-pittsburgh-pa-15201/id-400022631398/,2,1,1428,1900,156702
-79.943813,40.481606,900 56th St,Pittsburgh,PA,15201,https://www.homes.com/property/900-56th-st-pittsburgh-pa-15201/id-400022979680/,2,1,924,1920,112777
-79.943671,40.481538,906 56th St,Pittsburgh,PA,15201,https://www.homes.com/property/906-56th-st-pittsburgh-pa-15201/id-400022979677/,3,1,1036,1900,123496
-79.964349,40.470822,127 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/127-almond-way-pittsburgh-pa-15201/id-400022876614/,2,2,979,1900,181309
-79.963435,40.470841,138 41st St 2jan 2jan 2jan,Pittsburgh,PA,15201,https://www.homes.com/property/138-41st-st-2jan-2jan-2jan-pittsburgh-pa-15201/id-400022876578/,2,1,1156,1900,158384
-79.963626,40.470343,148 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/148-almond-way-pittsburgh-pa-15201/id-400022876617/,2,1,1181,1900,309000
-79.963104,40.470005,160 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/160-almond-way-pittsburgh-pa-15201/id-400022876625/,2,1,998,1900,154233
-79.963041,40.469963,162 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/162-almond-way-pittsburgh-pa-15201/id-400022876622/,2,2,998,1900,165585
-79.96156500000002,40.471318,164 43rd St,Pittsburgh,PA,15201,https://www.homes.com/property/164-43rd-st-pittsburgh-pa-15201/id-400022876893/,2,2,1598,1920,205723
-79.962977,40.469908000000004,164 Almond Way,Pittsburgh,PA,15201,https://www.homes.com/property/164-almond-way-pittsburgh-pa-15201/id-400022876623/,2,1,998,1900,153300
-79.961472,40.471185999999996,168 43rd St,Pittsburgh,PA,15201,https://www.homes.com/property/168-43rd-st-pittsburgh-pa-15201/id-400022876895/,3,1,1296,1900,178740
-79.961138,40.471447999999995,169 43rd St,Pittsburgh,PA,15201,https://www.homes.com/property/169-43rd-st-pittsburgh-pa-15201/id-400022876877/,2,2,2750,1900,234678
-79.961444,40.470884999999996,171 42nd St,Pittsburgh,PA,15201,https://www.homes.com/property/171-42nd-st-pittsburgh-pa-15201/id-400022876699/,3,1,1690,1920,248972
-79.960614,40.471875,180 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/180-44th-st-pittsburgh-pa-15201/id-400022876730/,2,1,964,1900,166563
-79.961577,40.470391,183 Banner Way,Pittsburgh,PA,15201,https://www.homes.com/property/183-banner-way-pittsburgh-pa-15201/id-400022876724/,2,1,832,1928,137537
-79.962026,40.469854999999995,184 41st St,Pittsburgh,PA,15201,https://www.homes.com/property/184-41st-st-pittsburgh-pa-15201/id-400022876593/,2,1,1036,1900,165335
-79.961539,40.470363,185 Banner Way,Pittsburgh,PA,15201,https://www.homes.com/property/185-banner-way-pittsburgh-pa-15201/id-400022876723/,2,1,832,1928,56021
-79.961261,40.470479,186 42nd St,Pittsburgh,PA,15201,https://www.homes.com/property/186-42nd-st-pittsburgh-pa-15201/id-400022876719/,3,3,2752,1920,374796
-79.959292,40.471238,215 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/215-44th-st-pittsburgh-pa-15201/id-400022876754/,3,1,1980,1900,217526
-79.95822199999998,40.47208,226 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/226-46th-st-pittsburgh-pa-15201/id-400022876861/,3,1,1403,1920,149926
-79.958134,40.472033,228 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/228-46th-st-pittsburgh-pa-15201/id-400022876862/,4,2,1728,1920,194014
-79.95833,40.470639,243 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/243-44th-st-pittsburgh-pa-15201/id-400022876816/,2,2,2979,1924,351576
-79.95808000000002,40.47051,251 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/251-44th-st-pittsburgh-pa-15201/id-400022876812/,3,1,1280,1900,188159
-79.95804,40.47048,253 44th St,Pittsburgh,PA,15201,https://www.homes.com/property/253-44th-st-pittsburgh-pa-15201/id-400022876811/,2,1,1280,1900,196381
-79.95723199999998,40.471525,256 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/256-46th-st-pittsburgh-pa-15201/id-400022876945/,3,1,1527,1925,210898
-79.957926,40.470754,262 Service Way,Pittsburgh,PA,15201,https://www.homes.com/property/262-service-way-pittsburgh-pa-15201/id-400022876848/,2,1,840,1900,142215
-79.957756,40.470835,264 45th St,Pittsburgh,PA,15201,https://www.homes.com/property/264-45th-st-pittsburgh-pa-15201/id-400022876847/,3,1,1378,1900,228642
-79.957363,40.470963,269 45th St,Pittsburgh,PA,15201,https://www.homes.com/property/269-45th-st-pittsburgh-pa-15201/id-400022877069/,3,1,2200,1900,215586
-79.95775,40.470652,270 Service Way,Pittsburgh,PA,15201,https://www.homes.com/property/270-service-way-pittsburgh-pa-15201/id-400022877059/,2,1,812,1900,138962
-79.957273,40.470866,275 45th St,Pittsburgh,PA,15201,https://www.homes.com/property/275-45th-st-pittsburgh-pa-15201/id-400022877072/,3,1,1800,1900,257197
-79.95766400000002,40.470534,276 Service Way,Pittsburgh,PA,15201,https://www.homes.com/property/276-service-way-pittsburgh-pa-15201/id-400022877050/,4,1,899,1900,89969
-79.96350600000002,40.470174,4009 Foster St,Pittsburgh,PA,15201,https://www.homes.com/property/4009-foster-st-pittsburgh-pa-15201/id-400022876627/,3,1,1800,1900,217754
-79.964265,40.471189,4024 Willow St,Pittsburgh,PA,15201,https://www.homes.com/property/4024-willow-st-pittsburgh-pa-15201/id-400022876607/,3,1,1620,1900,204320
-79.96115999999998,40.471706,4310 Foster St,Pittsburgh,PA,15201,https://www.homes.com/property/4310-foster-st-pittsburgh-pa-15201/id-400022876873/,2,1,1204,1900,181499
-79.95563100000003,40.471026,4610 Carlton St,Pittsburgh,PA,15201,https://www.homes.com/property/4610-carlton-st-pittsburgh-pa-15201/id-400022876996/,3,1,1550,1920,85089
-79.955311,40.470766,4611 Bancroft St,Pittsburgh,PA,15201,https://www.homes.com/property/4611-bancroft-st-pittsburgh-pa-15201/id-400022877018/,1,2,1185,1900,160270
-79.955151,40.471416999999995,4630 Carlton St,Pittsburgh,PA,15201,https://www.homes.com/property/4630-carlton-st-pittsburgh-pa-15201/id-400022876989/,4,2,1901,1930,227001
-79.961444,40.47192800000001,153 43 1/2 St,Pittsburgh,PA,15201,https://www.homes.com/property/153-43-12-st-pittsburgh-pa-15201/id-400022876868/,3,1,1248,1900,233402
-79.961692,40.471152000000004,159 42nd St 2jan 2jan 2jan,Pittsburgh,PA,15201,https://www.homes.com/property/159-42nd-st-2jan-2jan-2jan-pittsburgh-pa-15201/id-400022876702/,1,1,1036,1900,211338
-79.960871,40.471725,178 43 1/2 St,Pittsburgh,PA,15201,https://www.homes.com/property/178-43-12-st-pittsburgh-pa-15201/id-400022876786/,3,2,792,1900,60455
-79.96056999999998,40.471517,188 43 1/2 St,Pittsburgh,PA,15201,https://www.homes.com/property/188-43-12-st-pittsburgh-pa-15201/id-400022876753/,2,1,1024,1900,123282
-79.957977,40.471952,234 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/234-46th-st-pittsburgh-pa-15201/id-400022876864/,3,1,1288,1925,136564
-79.96153000000002,40.464207,296 38th St,Pittsburgh,PA,15201,https://www.homes.com/property/296-38th-st-pittsburgh-pa-15201/id-400022878622/,2,1,930,1900,164272
-79.96221700000002,40.464071999999994,309 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/309-37th-st-pittsburgh-pa-15201/id-400022878289/,3,1,1720,1900,216216
-79.962264,40.464053,311 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/311-37th-st-pittsburgh-pa-15201/id-400022878290/,3,1,1720,1900,184591
-79.962266,40.463898,315 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/315-37th-st-pittsburgh-pa-15201/id-400032839337/,4,2,2160,1900,212303
-79.956533,40.469685,316 Service Way,Pittsburgh,PA,15201,https://www.homes.com/property/316-service-way-pittsburgh-pa-15201/id-400022876958/,1,1,1122,1900,235868
-79.96209,40.463817999999996,319 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/319-37th-st-pittsburgh-pa-15201/id-400022878294/,4,1,2040,1900,221802
-79.959587,40.464153,321 39th St,Pittsburgh,PA,15201,https://www.homes.com/property/321-39th-st-pittsburgh-pa-15201/id-400022878399/,3,2,1823,1900,236222
-79.95957,40.464092,323 39th St,Pittsburgh,PA,15201,https://www.homes.com/property/323-39th-st-pittsburgh-pa-15201/id-400022878398/,2,2,1908,1900,131434
-79.962034,40.463334,335 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/335-37th-st-pittsburgh-pa-15201/id-400022878348/,2,1,1944,1900,165044
-79.965518,40.46259600000001,3432 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3432-ligonier-st-pittsburgh-pa-15201/id-400022878236/,3,2,2688,1900,163670
-79.96559,40.462968,3439 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3439-ligonier-st-pittsburgh-pa-15201/id-400022878231/,3,2,2402,1900,248911
-79.965425,40.463122999999996,3445 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3445-ligonier-st-pittsburgh-pa-15201/id-400022878230/,2,1,1344,1925,161358
