"Address",Latitude,Longitude
"335 37th St, Pittsburgh, PA 15201",40.463334,-79.962034
"3432 Ligonier St, Pittsburgh, PA 15201",40.462596,-79.965518
"3439 Ligonier St, Pittsburgh, PA 15201",40.462968,-79.96559
"3445 Ligonier St, Pittsburgh, PA 15201",40.463123,-79.965425
"3447 Ligonier St, Pittsburgh, PA 15201",40.463119,-79.965317
"3453 Spring Way, Pittsburgh, PA 15201",40.463345,-79.965272
"3457 Ligonier St, Pittsburgh, PA 15201",40.463438,-79.965168
"3462 Ligonier St, Pittsburgh, PA 15201",40.463179,-79.964775
"3464 Ligonier St, Pittsburgh, PA 15201",40.463216,-79.964706
"3497 Denny St, Pittsburgh, PA 15201",40.463701,-79.963839
"3506 Penn Ave, Pittsburgh, PA 15201",40.463874,-79.964797
"3512 Penn Ave, Pittsburgh, PA 15201",40.463908,-79.964531
"3644 Penn Ave 205, Pittsburgh, PA 15201",40.464032,-79.962999
"3732 Woolslayer Way, Pittsburgh, PA 15201",40.464012,-79.961629
"3812 Howley St, Pittsburgh, PA 15201",40.462794,-79.960472
"3815 Cabinet Way, Pittsburgh, PA 15201",40.463521,-79.96057
"3815 Howley St, Pittsburgh, PA 15201",40.463175,-79.960439
"3815 Howley St, Pittsburgh, PA 15201",40.463175,-79.960439
"3817 Liberty Ave, Pittsburgh, PA 15201",40.462566,-79.960276
"3819 Howley St, Pittsburgh, PA 15201",40.463231,-79.960293
"3823 Cabinet Way, Pittsburgh, PA 15201",40.463536,-79.960286
"3823 Clement Way, Pittsburgh, PA 15201",40.462842,-79.960122
"4124 Foster St, Pittsburgh, PA 15201",40.470998,-79.961958
"4400 Davison St, Pittsburgh, PA 15201",40.470018,-79.957664
"102 43 1/2 St, Pittsburgh, PA 15201",40.473115,-79.96297
"112 44th St, Pittsburgh, PA 15201",40.473232,-79.962513
"114 44th St, Pittsburgh, PA 15201",40.473203,-79.962438
"121 43rd St, Pittsburgh, PA 15201",40.472458,-79.9624
"122 45th St, Pittsburgh, PA 15201",40.473825,-79.961872
"122 Locarna Way, Pittsburgh, PA 15201",40.473683,-79.961976
"125 43rd St, Pittsburgh, PA 15201",40.472301,-79.962401
"137 44th St, Pittsburgh, PA 15201",40.472968,-79.961613
"147 Locarna Way, Pittsburgh, PA 15201",40.47283,-79.96115
"149 44th St, Pittsburgh, PA 15201",40.472758,-79.961167
"151 45th St, Pittsburgh, PA 15201",40.473256,-79.960631
"154 45th St, Pittsburgh, PA 15201",40.473077,-79.960854
"170 Locarna Way, Pittsburgh, PA 15201",40.472628,-79.960494
"170 Locarna Way, Pittsburgh, PA 15201",40.472628,-79.960494
"175 48th St, Pittsburgh, PA 15201",40.476491,-79.958414
"177 48th St, Pittsburgh, PA 15201",40.476429,-79.958254
"32 48th St, Pittsburgh, PA 15201",40.47633,-79.958647
"4415 Plummer St, Pittsburgh, PA 15201",40.47314,-79.961284
"4724 Hatfield St, Pittsburgh, PA 15201",40.476032,-79.959331
"4738 Hatfield St, Pittsburgh, PA 15201",40.476247,-79.959007
"4740 Hatfield St, Pittsburgh, PA 15201",40.476371,-79.959054
"4742 Hatfield St, Pittsburgh, PA 15201",40.476398,-79.959011
"4814 Blackberry Way, Pittsburgh, PA 15201",40.476551,-79.95802
"4817 Blackberry Way, Pittsburgh, PA 15201",40.476839,-79.958082
"4823 Blackberry Way, Pittsburgh, PA 15201",40.476858,-79.958042
"4824 Blackberry Way, Pittsburgh, PA 15201",40.476672,-79.957809
"96 44th St, Pittsburgh, PA 15201",40.47354,-79.962918
"98 44th St, Pittsburgh, PA 15201",40.47347,-79.962828
"1105 Normahill Dr, Pittsburgh, PA 15201",40.486234,-79.937657
"1434 Simona Dr, Pittsburgh, PA 15201",40.484377,-79.93584
"1439 Simona Dr, Pittsburgh, PA 15201",40.484606,-79.936125
"1442 Simona Dr, Pittsburgh, PA 15201",40.484572,-79.935731
"1454 Simona Dr, Pittsburgh, PA 15201",40.484868,-79.935513
"1461 Hawthorne St, Pittsburgh, PA 15201",40.484739,-79.934945
"1500 Hawthorne St, Pittsburgh, PA 15201",40.484889,-79.934254
"1510 Hawthorne St, Pittsburgh, PA 15201",40.485082,-79.934054
"1513 Hawthorne St, Pittsburgh, PA 15201",40.485412,-79.934505
"1516 Hawthorne St, Pittsburgh, PA 15201",40.485245,-79.933983
"1523 Hawthorne St, Pittsburgh, PA 15201",40.485598,-79.934381
"1528 Hawthorne St, Pittsburgh, PA 15201",40.485509,-79.933761
"1535 Simona Dr, Pittsburgh, PA 15201",40.486119,-79.935328
"1539 Hawthorne St, Pittsburgh, PA 15201",40.485961,-79.933946
"1543 Hawthorne St, Pittsburgh, PA 15201",40.486069,-79.933919
"1544 Woodbine St, Pittsburgh, PA 15201",40.486371,-79.935593
"1553 Hawthorne St, Pittsburgh, PA 15201",40.486357,-79.93354
"1554 Hawthorne St, Pittsburgh, PA 15201",40.486003,-79.933154
"1576 Woodbine St, Pittsburgh, PA 15201",40.48622,-79.93477
"1601 Hawthorne St, Pittsburgh, PA 15201",40.486672,-79.933159
"240 46th St 2jan 2jan 2jan, Pittsburgh, PA 15201",40.471738,-79.957596
"246 46th St, Pittsburgh, PA 15201",40.471663,-79.957462
"254 46th St, Pittsburgh, PA 15201",40.471512,-79.957348
"260 46th St, Pittsburgh, PA 15201",40.471445,-79.957148
"262 46th St 2jan 2jan 2jan, Pittsburgh, PA 15201",40.471404,-79.957123
"268 46th St, Pittsburgh, PA 15201",40.471294,-79.956937
"4604 Carlton St, Pittsburgh, PA 15201",40.470971,-79.955795
"4605 Allied Way, Pittsburgh, PA 15201",40.486495,-79.933847
"4606 Allied Way, Pittsburgh, PA 15201",40.486277,-79.934062
"4612 Carlton St, Pittsburgh, PA 15201",40.471056,-79.955522
