city,state,population_density,population_trend,lat,lon
Sandy Springs,Georgia,"2,804",+12.63%,33.9315,-84.3687
Hillsboro,Oregon,"4,207",+14.79%,45.528,-122.9357
Green Bay,Wisconsin,"2,316",+1.04%,44.5207,-87.9842
Tyler,Texas,"1,852",+8.15%,32.3173,-95.3059
Wichita Falls,Texas,"1,450",+0.16%,33.9067,-98.5259
Lewisville,Texas,"2,852",+9.83%,33.0466,-96.9818
Burbank,California,"6,003",+1.07%,34.1901,-118.3264
Greeley,Colorado,"2,176",+11.95%,40.4153,-104.7697
San Mateo,California,"8,592",+6.95%,37.5603,-122.3106
El Cajon,California,"7,156",+4.31%,32.8017,-116.9604
Rialto,California,"4,633",+4.18%,34.1118,-117.3883
Davenport,Iowa,"1,631",+2.94%,41.5541,-90.604
League City,Texas,"1,992",+22.08%,29.4901,-95.1091
Edison,New Jersey,"3,389",+2.03%,40.504,-74.3494
Davie,Florida,"2,919",+10.74%,26.0791,-80.285
Las Cruces,New Mexico,"1,323",+4.24%,32.3264,-106.7897
South Bend,Indiana,"2,457",+0.56%,41.6769,-86.269
Vista,California,"5,436",+8.34%,33.1895,-117.2386
Woodbridge,New Jersey,"4,351",+1.81%,40.5607,-74.2927
Renton,Washington,"4,314",+11.03%,47.4761,-122.192
Lakewood,New Jersey,"4,079",+8.53%,40.0771,-74.2004
San Angelo,Texas,"1,681",+8.05%,31.4411,-100.4505
Clinton,Michigan,"3,573",+3.72%,42.5903,-82.917
